E_cs,x_max
1,1.10838202232
1.1220184543,1.06093899284
1.25892541179,1.01552670819
1.41253754462,0.972058244636
1.58489319246,0.930450399138
1.77827941004,0.890623530058
1.99526231497,0.852501404728
2.23872113857,0.816011053535
2.51188643151,0.781082630245
2.81838293126,0.747649278314
3.16227766017,0.715647002916
3.54813389234,0.68501454845
3.98107170553,0.655693281292
4.46683592151,0.627627077562
5.01187233627,0.600762215703
5.6234132519,0.575047273642
6.3095734448,0.550433030374
7.07945784384,0.526872371741
7.94328234724,0.504320200253
8.91250938134,0.482733348766
10,0.46207049786
11.220184543,0.44229209674
12.5892541179,0.423360287543
14.1253754462,0.405238832865
15.8489319246,0.387893046405
17.7827941004,0.371289726569
19.9526231497,0.355397092918
22.3872113857,0.340184725341
25.1188643151,0.325623505823
28.1838293126,0.311685562713
31.6227766017,0.298344217376
35.4813389234,0.285573933123
39.8107170553,0.273350266336
44.6683592151,0.261649819676
50.1187233627,0.250450197302
56.234132519,0.239729962002
63.095734448,0.229468594158
70.7945784384,0.219646452471
79.4328234724,0.210244736367
89.1250938134,0.201245450007
100,0.192631367845
112.20184543,0.184386001654
125.892541179,0.176493568966
141.253754462,0.168938962866
158.489319246,0.161707723072
177.827941004,0.154786008257
199.526231497,0.148160569557
223.872113857,0.14181872521
251.188643151,0.135748336285
281.838293126,0.129937783439
316.227766017,0.124375944687
354.813389234,0.119052174105
398.107170553,0.113956281456
446.683592151,0.109078512685
501.187233627,0.104409531248
562.34132519,0.099940400241
630.95734448,0.0956625652939
707.945784384,0.091567838197
794.328234724,0.0876483812274
891.250938134,0.083896692147
1000,0.0803055898426
1122.0184543,0.0768682005801
1258.92541179,0.073577944848
1412.53754462,0.0704285247632
1584.89319246,0.0674139120162
1778.27941004,0.0645283363326
1995.26231497,0.061766274428
2238.72113857,0.0591224394357
2511.88643151,0.0565917707875
2818.38293126,0.0541694245271
3162.27766017,0.051850764038
3548.13389234,0.0496313511689
3981.07170553,0.0475069377386
4466.83592151,0.0454734574044
5011.87233627,0.0435270178787
5623.4132519,0.0416638934788
6309.5734448,0.0398805179958
7079.45784384,0.0381734778681
7943.28234724,0.0365395056478
8912.50938134,0.0349754737465
10000,0.0334783884484
11220.184543,0.0320453841806
12589.2541179,0.0306737180275
14125.3754462,0.029360764481
15848.9319246,0.0281040104149
17782.7941004,0.0269010502745
19952.6231497,0.0257495814721
22387.2113857,0.0246473999797
25118.8643151,0.02359239611
28183.8293126,0.0225825504788
31622.7766017,0.0216159301391
35481.3389234,0.0206906848816
39810.7170553,0.0198050436929
44668.3592151,0.0189573113661
50118.7233627,0.0181458652556
56234.132519,0.0173691521711
63095.734448,0.0166256854051
70794.5784384,0.0159140418869
79432.8234724,0.0152328594584
89125.0938134,0.0145808342677
100000,0.0139567182722
